,IMDb Id,Companion(split),Actor
1449,0811750,Jamie,Frazer Hines
1450,0811751,Peri,Nicola Bryant
1451,0811751,Jamie,Frazer Hines
1452,0562980,Peri,Nicola Bryant
1453,0811762,Peri,Nicola Bryant
1454,0562873,Peri,Nicola Bryant
1455,0811836,Peri,Nicola Bryant
1456,0562939,Peri,Nicola Bryant
1457,0811716,Peri,Nicola Bryant
1458,0811717,Peri,Nicola Bryant
1459,0811718,Peri,Nicola Bryant
1460,0562861,Peri,Nicola Bryant
1461,0811814,Peri,Nicola Bryant
1462,0811815,Peri,Nicola Bryant
1463,0811816,Peri,Nicola Bryant
1464,0562884,Melanie,Bonnie Langford
1465,0811850,Melanie,Bonnie Langford
1466,0811851,Melanie,Bonnie Langford
1467,0811852,Melanie,Bonnie Langford
1468,0562970,Melanie,Bonnie Langford
1469,0811752,Melanie,Bonnie Langford
1470,0811752,Peri Brown,Nicola Bryant
1471,0562978,Melanie,Bonnie Langford
1472,0811756,Melanie,Bonnie Langford
1473,0811757,Melanie,Bonnie Langford
1474,0811758,Melanie,Bonnie Langford
1475,0562864,Melanie,Bonnie Langford
1476,0811820,Melanie,Bonnie Langford
1477,0811821,Melanie,Bonnie Langford
1478,0811822,Melanie,Bonnie Langford
1479,0562839,Melanie,Bonnie Langford
1480,0811665,Melanie,Bonnie Langford
1481,0811666,Melanie,Bonnie Langford
1482,0562841,Melanie,Bonnie Langford
1483,0562841,Ace,Sophie Aldred
1484,0811670,Melanie,Bonnie Langford
1485,0811670,Ace,Sophie Aldred
1486,0811671,Melanie,Bonnie Langford
1487,0811671,Ace,Sophie Aldred
1488,0562871,Ace,Sophie Aldred
1489,0562871,Dalek Battle Computer,John Leeson
1490,0811832,Ace,Sophie Aldred
1491,0811832,Dalek Battle Computer,John Leeson
1492,0811833,Ace,Sophie Aldred
1493,0811833,Dalek Battle Computer,John Leeson
1494,0811834,Ace,Sophie Aldred
1495,0562918,Ace,Sophie Aldred
1496,0811692,Ace,Sophie Aldred
1497,0811693,Ace,Sophie Aldred
1498,0562877,Ace,Sophie Aldred
1499,0562877,Tourist,Nicholas Courtney
1500,0811837,Ace,Sophie Aldred
1501,0811838,Ace,Sophie Aldred
1502,0562914,Ace,Sophie Aldred
1503,0811886,Ace,Sophie Aldred
1504,0811887,Ace,Sophie Aldred
1505,0811888,Ace,Sophie Aldred
1506,0562831,Ace,Sophie Aldred
1507,0562831,Morgaine,Jean Marsh
1508,0562831,Brigadier Lethbridge-Stewart,Nicholas Courtney
1509,0811655,Ace,Sophie Aldred
1510,0811655,Morgaine,Jean Marsh
1511,0811655,Brigadier Lethbridge-Stewart,Nicholas Courtney
1512,0811656,Ace,Sophie Aldred
1513,0811656,Morgaine,Jean Marsh
1514,0811656,Brigadier Lethbridge-Stewart,Nicholas Courtney
1515,0811657,Ace,Sophie Aldred
1516,0811657,Morgaine,Jean Marsh
1517,0811657,Brigadier Lethbridge-Stewart,Nicholas Courtney
1518,0562851,Ace,Sophie Aldred
1519,0811687,Ace,Sophie Aldred
1520,0811688,Ace,Sophie Aldred
1521,0562902,Ace,Sophie Aldred
1522,0811877,Ace,Sophie Aldred
1523,0811878,Ace,Sophie Aldred
1524,0811879,Ace,Sophie Aldred
1525,0562881,Ace,Sophie Aldred
1526,0811845,Ace,Sophie Aldred
1527,0811846,Ace,Sophie Aldred
1528,0562992,Rose Tyler,Billie Piper
1529,0562992,Mickey Smith,Noel Clarke
1530,0562997,Rose Tyler,Billie Piper
1531,0563001,Rose Tyler,Billie Piper
1532,0562985,Rose Tyler,Billie Piper
1533,0562985,Mickey Smith,Noel Clarke
1534,0563003,Rose Tyler,Billie Piper
1535,0563003,Mickey Smith,Noel Clarke
1536,0562988,Rose Tyler,Billie Piper
1537,0562988,Adam Mitchell,Bruno Langley
1538,0562999,Rose Tyler,Billie Piper
1539,0562999,Adam Mitchell,Bruno Langley
1540,0562989,Rose Tyler,Billie Piper
1541,0562996,Rose Tyler,Billie Piper
1542,0562996,Jack Harkness,John Barrowman
1543,0562995,Rose Tyler,Billie Piper
1544,0562995,Jack,John Barrowman
1545,0562987,Rose Tyler,Billie Piper
1546,0562987,Captain Jack,John Barrowman
1547,0562987,Mickey Smith,Noel Clarke
1548,0562986,Rose Tyler,Billie Piper
1549,0562986,Captain Jack,John Barrowman
1550,0563000,Rose Tyler,Billie Piper
1551,0563000,Captain Jack,John Barrowman
1552,0563000,Mickey Smith,Noel Clarke
1553,0562994,Rose Tyler,Billie Piper
1554,0562994,Mickey Smith,Noel Clarke
1555,0562990,Rose Tyler,Billie Piper
1556,0562990,Mickey Smith,Noel Clarke
1557,0563002,Rose Tyler,Billie Piper
1558,0562993,Rose Tyler,Billie Piper
